Date,CloudProvider,Service,Region,Resource,UsageType,UsageQuantity,UnitCost,TotalCost,IsAnomaly
2025-09-01,AWS,EC2,eu-west-1,i-0b7e6d5c4b3a2,BoxUsage:t3.xlarge,19.8,0.1664,3.2943,0
2025-09-01,Azure,Azure VM,westeurope,vm-web-prod-01,Standard_D4s_v3,19.6,0.192,3.7631,0
2025-09-01,GCP,Cloud SQL,us-central1,gcp-main-postgres-db,db-custom-2-7680,22.47,0.35,7.8661,0
2025-09-01,AWS,S3,us-east-1,user-media-storage-bucket,StandardStorage-GB,632.37,0.023,14.5446,0
2025-09-01,Azure,Azure Storage,westeurope,stappprodlogs001,BlobStorage-GB,1192.61,0.02,23.8523,0
2025-09-01,Azure,Azure VM,westeurope,vm-api-prod-02,Standard_D4s_v3,18.81,0.192,3.6118,0
2025-09-01,Azure,Azure VM,eastus,vm-web-prod-01,Standard_D4s_v3,20.19,0.192,3.8756,0
2025-09-01,Azure,Azure VM,southeastasia,vm-web-prod-01,Standard_D4s_v3,17.77,0.192,3.4124,0
2025-09-01,GCP,Compute Engine,asia-east1,gcp-k8s-worker-1,n2-standard-4,20.66,0.194,4.0078,0
2025-09-01,GCP,Cloud SQL,us-central1,gcp-main-postgres-db,db-custom-2-7680,23.19,0.35,8.1156,0
2025-09-01,Azure,Azure VM,eastus,vm-api-prod-02,Standard_D4s_v3,19.23,0.192,3.6913,0
2025-09-01,AWS,Lambda,eu-west-1,image-resizer-worker,RequestCount,218383.89,2e-07,0.0437,0
2025-09-01,Azure,Azure VM,westeurope,vm-api-prod-02,Standard_D4s_v3,21.73,0.192,4.1725,0
2025-09-01,AWS,EBS,us-east-1,vol-0123456789abcdef0,VolumeUsage.gp3,394.19,0.08,31.5352,0
2025-09-01,GCP,Compute Engine,asia-east1,gcp-k8s-worker-2,n2-standard-4,17.45,0.194,3.3855,0
2025-09-01,Azure,Azure VM,southeastasia,vm-api-prod-02,Standard_D4s_v3,23.25,0.192,4.4645,0
2025-09-02,Azure,Azure Storage,eastus,stappprodlogs001,BlobStorage-GB,669.44,0.02,13.3888,0
2025-09-02,Azure,Azure VM,southeastasia,vm-web-prod-01,Standard_D4s_v3,20.47,0.192,3.93,0
2025-09-02,GCP,Cloud SQL,europe-west1,gcp-main-postgres-db,db-custom-2-7680,19.92,0.35,6.9707,0
2025-09-02,GCP,Cloud SQL,us-central1,gcp-main-postgres-db,db-custom-2-7680,22.62,0.35,7.9167,0
2025-09-02,AWS,S3,ap-southeast-1,app-logs-archive,StandardStorage-GB,449.85,0.023,10.3466,0
2025-09-02,AWS,EC2,ap-southeast-1,i-0a8f9c1d2e3f4,BoxUsage:t3.xlarge,23.95,0.1664,3.985,0
2025-09-02,GCP,Compute Engine,asia-east1,gcp-k8s-worker-2,n2-standard-4,20.12,0.194,3.9028,0
2025-09-02,AWS,S3,ap-southeast-1,app-logs-archive,StandardStorage-GB,352.94,0.023,8.1177,0
